class_index,class_name,accuracy,correct,total
72,seal,0.28,28,100
35,girl,0.29,29,100
55,otter,0.31,31,100
46,man,0.34,34,100
44,lizard,0.34,34,100
80,squirrel,0.35,35,100
25,couch,0.37,37,100
3,bear,0.38,38,100
93,turtle,0.39,39,100
92,tulip,0.4,40,100
27,crocodile,0.41,41,100
74,shrew,0.42,42,100
4,beaver,0.44,44,100
65,rabbit,0.45,45,100
67,ray,0.45,45,100
32,flatfish,0.46,46,100
19,cattle,0.47,47,100
10,bowl,0.48,48,100
77,snail,0.49,49,100
38,kangaroo,0.5,50,100
47,maple_tree,0.5,50,100
64,possum,0.5,50,100
98,woman,0.5,50,100
50,mouse,0.51,51,100
2,baby,0.51,51,100
45,lobster,0.52,52,100
63,porcupine,0.54,54,100
73,shark,0.54,54,100
13,bus,0.56,56,100
78,snake,0.57,57,100
51,mushroom,0.57,57,100
30,dolphin,0.58,58,100
61,plate,0.58,58,100
14,butterfly,0.58,58,100
11,boy,0.58,58,100
84,table,0.58,58,100
59,pine_tree,0.6,60,100
83,sweet_pepper,0.61,61,100
40,lamp,0.62,62,100
31,elephant,0.63,63,100
18,caterpillar,0.63,63,100
26,crab,0.63,63,100
42,leopard,0.64,64,100
34,fox,0.65,65,100
90,train,0.66,66,100
95,whale,0.66,66,100
6,bee,0.66,66,100
96,willow_tree,0.67,67,100
52,oak_tree,0.67,67,100
33,forest,0.67,67,100
29,dinosaur,0.67,67,100
22,clock,0.67,67,100
86,telephone,0.68,68,100
89,tractor,0.69,69,100
66,raccoon,0.69,69,100
15,camel,0.69,69,100
7,beetle,0.7,70,100
81,streetcar,0.7,70,100
88,tiger,0.7,70,100
79,spider,0.7,70,100
85,tank,0.71,71,100
17,castle,0.71,71,100
97,wolf,0.71,71,100
23,cloud,0.72,72,100
70,rose,0.72,72,100
91,trout,0.72,72,100
69,rocket,0.73,73,100
57,pear,0.74,74,100
54,orchid,0.74,74,100
16,can,0.74,74,100
87,television,0.76,76,100
37,house,0.77,77,100
58,pickup_truck,0.77,77,100
71,sea,0.77,77,100
43,lion,0.77,77,100
28,cup,0.78,78,100
36,hamster,0.78,78,100
62,poppy,0.78,78,100
99,worm,0.79,79,100
60,plain,0.79,79,100
9,bottle,0.8,80,100
39,keyboard,0.82,82,100
0,apple,0.82,82,100
21,chimpanzee,0.82,82,100
5,bed,0.82,82,100
12,bridge,0.83,83,100
49,mountain,0.84,84,100
41,lawn_mower,0.85,85,100
24,cockroach,0.85,85,100
1,aquarium_fish,0.86,86,100
76,skyscraper,0.86,86,100
82,sunflower,0.87,87,100
20,chair,0.87,87,100
56,palm_tree,0.87,87,100
8,bicycle,0.88,88,100
48,motorcycle,0.88,88,100
68,road,0.9,90,100
53,orange,0.91,91,100
94,wardrobe,0.91,91,100
75,skunk,0.91,91,100
